Map_Id	Map_Label	Parent_id	Parent_Area	NGI_POLYGON_ID	Geo_PolygonID	LOGICAL_GROUPING	MISSING_SHAPE_FILE	Level	Old ΧΕ Area ID
851-83	Βασιλικά	851	Σαλαμίνα		607			4	805
274	Βέλο	29	Ν. Κορίνθου	1504000				3	828
517-49	Βένιο Δασκαλειού	517	Κερατέα		573			4	805
278	Βέροια	17	Ν. Ημαθίας	5301000				3	816
793-473	Βιαμάξ	793	Περιστέρι		473			4	415
281	Βίλια	57	Υπόλοιπο Αττικής	9704000				3	805
281-69	Βίλια	281	Βίλια		593			4	805
911-487	Βιομηχανική Ζώνη Πέτρου Ράλλη	911	Ταύρος 		487			4	608
702-386	ΒΙΟΠΑ	702	Νέα Ιωνία		386			4	412
268-221	Βλάχικα	268	Βάρη		221			4	304
654-363	Βλάχου	654	Μεταμόρφωση		363			4	411
287	Βόλος	41	Ν. Μαγνησίας	4301000				3	835
59-9	Βοτανικός	59	 Κέντρο Αθήνας		705			3	108
290	Βούλα	61	 Κεντρικά & Νότια Προάστια	9807000				3	306
291	Βουλιαγμένη	61	 Κεντρικά & Νότια Προάστια	9808000				3	307
624-43	Βρανάς 	624	Μαραθώνας		567			4	805
626-103	Βραυρώνα	626	Μαρκόπουλο		627			4	805
297	Βριλήσσια	60	 Βόρεια & Ανατολικά Προάστια	9910000				3	205
63-445	Βρυώνη 	63	 Πειραιάς		445			3	506
851-82	Βρωμοπούσι	851	Σαλαμίνα		606			4	805
298	Βύρωνας	61	 Κεντρικά & Νότια Προάστια	9911000				3	308
298-241	Βύρωνας	298	Βύρωνας		241			4	308
300	Βυτίνα	32	Ν. Αρκαδίας	1205000				3	803
722-420	Γ΄Νεκροταφείο Αθηνών	722	Νίκαια 		420			4	606
303	Γαλαξίδι	6	Ν. Φωκίδας	0703000				3	849
304	Γαλάτσι	62	 Κεντρικά & Δυτικά Προάστια 	9912000				3	406
851-89	Γαλήνη	851	Σαλαμίνα		613			4	805
308-257	Γαργηττός (Δέση)	308	Γέρακας 		257			4	206
308-256	Γαργηττός Ι	308	Γέρακας 		256			4	206
308-255	Γαργηττός ΙΙ	308	Γέρακας 		255			4	206
1034	Γαύδος	30	Ν. Χανίων	9462000				3	851
308	Γέρακας 	60	 Βόρεια & Ανατολικά Προάστια	9809000				3	206
258-197	Γεροβουνό	258	Αχαρνές (Μενίδι)		197			4	405
754-679	Γήπεδα	754	Παλαιό Φάληρο 		679			4	318
59-6-54	Γηροκομείο	59-6	Αμπελόκηποι		54			4	107
59-61	Γκάζι	59	 Κέντρο Αθήνας		61			3	109
317-262	Γκολφ 	317	Γλυφάδα		262			4	309
59-32-115	Γκράβα	59-32	Πατήσια		115			4	135
59-62	Γκύζη	59	 Κέντρο Αθήνας		62			3	110
316	Γλυκά Νερά 	60	 Βόρεια & Ανατολικά Προάστια	9810000				3	207
317	Γλυφάδα	61	 Κεντρικά & Νότια Προάστια	9913000				3	309
59-12	Γούβα	59	 Κέντρο Αθήνας		64			3	101
59-13	Γουδή	59	 Κέντρο Αθήνας		707			3	111
417-292	Γουδή	417	Ζωγράφου		292			4	111
1035	Γραμματικό	57	Υπόλοιπο Αττικής	9867000				3	805
1035-26	Γραμματικό	1035	Γραμματικό		550			4	805
329	Γρεβενά	24	Ν. Γρεβενών	5101000				3	808
330	Γύθειο	9	Ν. Λακωνίας	1606000				3	830
100	Δ. Αβδήρων 	49	Ν. Ξάνθης	7202000				3	837
101	Δ. Αβίας 	52	Ν. Μεσσηνίας	1702000				3	836
102	Δ. Αγ. Αθανασίου	69	 Υπόλοιπο Ν. Θεσσαλονίκης	5402000				3	819999
104	Δ. Αγ. Αναργύρων 	33	Ν. Καστοριάς	5603000				3	823
105	Δ. Αγ. Βαρβάρας 	10	Ν. Ηρακλείου	9102000				3	817
108	Δ. Αγ. Γεωργίου	69	 Υπόλοιπο Ν. Θεσσαλονίκης	5403000				3	819999
109	Δ. Αγ. Γεωργίου Τυμφρηστού 	18	Ν. Φθιώτιδας	0602000				3	847
111	Δ. Αγ. Δημητρίου 	3	Ν. Ιωαννίνων	3302000				3	820
115	Δ. Αγ. Κωνσταντίνου 	18	Ν. Φθιώτιδας	0603000				3	847
120	Δ. Αγ. Παρασκευής 	16	Ν. Κοζάνης	5802000				3	827
123	Δ. Αγ. Τριάδος 	33	Ν. Καστοριάς	5602000				3	823
124	Δ. Αγγελοκάστρου 	7	Ν. Αιτωλοακαρνανίας	0102000				3	801
125	Δ. Αγιάς 	8	Ν. Λάρισας	4202000				3	832
128	Δ. Αγνάντων 	46	Ν. Άρτας	3102000				3	804
129	Δ. Αγράφων 	5	Ν. Ευρυτανίας	0502000				3	813
130	Δ. Αγριάς 	41	Ν. Μαγνησίας	4302000				3	835
132	Δ. Αετού 	52	Ν. Μεσσηνίας	1703000				3	836
133	Δ. Αετού 	21	Ν. Φλώρινας	6302000				3	848
134	Δ. Αθαμανίας 	46	Ν. Άρτας	3103000				3	804
136	Δ. Αιανής 	16	Ν. Κοζάνης	5803000				3	827
139	Δ. Αιγείρου 	28	Ν. Ροδόπης	7302000				3	843
141	Δ. Αιγινίου 	1	Ν. Πιερίας	6102000				3	840
144	Δ. Αιθήκων 	54	Ν. Τρικάλων	4402000				3	846
145	Δ. Αιπείας 	52	Ν. Μεσσηνίας	1704000				3	836
146	Δ. Αισωνίας 	41	Ν. Μαγνησίας	4303000				3	835
148	Δ. Ακραιφνίας 	38	Ν. Βοιωτίας	0302000				3	807
150	Δ. Ακριτών 	33	Ν. Καστοριάς	5604000				3	823
151	Δ. Ακρωτηρίου 	30	Ν. Χανίων	9402000				3	851
152	Δ. Αλεξάνδρειας 	17	Ν. Ημαθίας	5302000				3	816
154	Δ. Αλιάκμονα 	33	Ν. Καστοριάς	5605000				3	823
157	Δ. Αλιστράτης 	15	Ν. Σερρών	6202000				3	845
158	Δ. Αλιφείρας 	44	Ν. Ηλείας	1402000				3	815
161	Δ. Αλυζίας 	7	Ν. Αιτωλοακαρνανίας	0105000				3	801
167	Δ. Αμβρακικού 	46	Ν. Άρτας	3104000				3	804
171	Δ. Αμπελώνος 	8	Ν. Λάρισας	4203000				3	832
172	Δ. Αμυνταίου 	21	Ν. Φλώρινας	6303000				3	848
175	Δ. Αμφίπολης 	15	Ν. Σερρών	6203000				3	845
177	Δ. Ανακτορίου 	7	Ν. Αιτωλοακαρνανίας	0107000				3	801
178	Δ. Ανατολής 	3	Ν. Ιωαννίνων	3303000				3	820
179	Δ. Ανατολικής Μάνης 	9	Ν. Λακωνίας	1602000				3	830
180	Δ. Ανατολικού Ζαγορίου 	3	Ν. Ιωαννίνων	3304000				3	820
181	Δ. Ανατολικού Ολύμπου 	1	Ν. Πιερίας	6103000				3	840
182	Δ. Ανατολικού Σελίνου 	30	Ν. Χανίων	9403000				3	851
183	Δ. Ανδανίας 	52	Ν. Μεσσηνίας	1705000				3	836
185	Δ. Ανδριτσαίνης 	44	Ν. Ηλείας	1405000				3	815
187	Δ. Ανδρούσας 	52	Ν. Μεσσηνίας	1706000				3	836
188	Δ. Ανθεμίων 	17	Ν. Ημαθίας	5303000				3	816
189	Δ. Ανθεμούντα 	14	Ν. Χαλκιδικής	6402000				2	850001
